Model,Model Raw,Step,Accuracy,Seed,Path
GDN,GatedDeltaNet_Stack,7000,98.79876375198364,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,7500,98.91223311424255,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,8000,98.84977340698242,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,8500,98.88895153999329,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,9000,98.79395961761475,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,9500,98.8275945186615,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,10000,98.86972904205322,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,10500,98.86049032211304,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,11000,98.84940385818481,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,11500,98.83313775062561,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,12000,98.84792566299438,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,12500,98.87860417366028,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,13000,98.87009859085083,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,13500,98.8323986530304,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,14000,98.87009859085083,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,14500,98.8124430179596,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,15000,98.81724715232849,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,15500,98.83868098258972,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,16000,98.82463812828064,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,16500,98.85531663894653,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,17000,98.81392121315002,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,17500,98.80726933479309,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,500,95.70586681365967,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,1000,96.96549773216248,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,1500,97.5786805152893,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,2000,98.33675026893616,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,2500,98.66940379142761,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,3000,98.84570837020874,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,3500,98.90816807746887,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,4000,98.98430705070496,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
